figure,stem,eval_set,tier,available,reason
01_predictors,8k7x_A,eval-test,≥1000,True,
01_predictors,8kg4_A,eval-test,≥1000,True,
01_predictors,8xrh_A,eval-test,100–999,True,
01_predictors,8khv_A,eval-test,≥1000,True,
01_predictors,8kih_A,eval-test,10–99,True,
01_predictors,8ok3_A,eval-test,10–99,True,
01_predictors,8oqh_A,eval-test,≥1000,True,
01_predictors,8ork_A,eval-test,≥1000,True,
01_predictors,8os2_A,eval-test,≥1000,True,
01_predictors,8owf_A,eval-test,≥1000,True,
01_predictors,8osz_A,eval-test,≥1000,True,
01_predictors,8ou1_A,eval-test,≥1000,True,
01_predictors,8ovq_A,eval-test,100–999,True,
01_predictors,8ovu_A,eval-test,≥1000,True,
01_predictors,8ow8_A,eval-test,100–999,True,
01_predictors,8oxk_A,eval-test,<10,True,
01_predictors,8oxl_A,eval-test,100–999,True,
01_predictors,8p0e_A,eval-test,≥1000,True,
01_predictors,8p2a_A,eval-test,≥1000,True,
01_predictors,8p5p_A,eval-test,≥1000,True,
01_predictors,8p5n_A,eval-test,≥1000,True,
01_predictors,7wu8_A,eval-test,≥1000,True,
01_predictors,8pak_A,eval-test,≥1000,True,
01_predictors,8paq_A,eval-test,100–999,True,
01_predictors,8pb5_A,eval-test,≥1000,True,
01_predictors,8por_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8ptd_A,eval-test,≥1000,True,
01_predictors,8pu2_A,eval-test,100–999,True,
01_predictors,8pvs_A,eval-test,≥1000,True,
01_predictors,8pw2_A,eval-test,10–99,True,
01_predictors,8pxc_A,eval-test,≥1000,True,
01_predictors,8pxu_A,eval-test,≥1000,True,
01_predictors,8q1v_A,eval-test,≥1000,True,
01_predictors,8qb1_A,eval-test,≥1000,True,
01_predictors,8qd8_A,eval-test,≥1000,True,
01_predictors,8qjp_A,eval-test,≥1000,True,
01_predictors,8qlc_A,eval-test,≥1000,True,
01_predictors,8qoh_A,eval-test,<10,True,
01_predictors,8qpj_A,eval-test,100–999,True,
01_predictors,8qq1_A,eval-test,≥1000,True,
01_predictors,8qle_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8qx6_A,eval-test,≥1000,True,
01_predictors,8r2c_A,eval-test,≥1000,True,
01_predictors,8r5n_A,eval-test,≥1000,True,
01_predictors,8ra0_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8rcw_A,eval-test,≥1000,True,
01_predictors,8rdd_A,eval-test,100–999,True,
01_predictors,8re3_A,eval-test,≥1000,True,
01_predictors,8rom_A,eval-test,≥1000,True,
01_predictors,8an4_A,eval-test,≥1000,True,
01_predictors,8qnf_A,eval-test,≥1000,True,
01_predictors,8s5b_A,eval-test,≥1000,True,
01_predictors,8s9l_A,eval-test,≥1000,True,
01_predictors,8sot_A,eval-test,≥1000,True,
01_predictors,8spc_A,eval-test,≥1000,True,
01_predictors,8suc_A,eval-test,≥1000,True,
01_predictors,8sv7_A,eval-test,≥1000,True,
01_predictors,8sx0_A,eval-test,10–99,True,
01_predictors,8sxs_A,eval-test,≥1000,True,
01_predictors,8gm7_A,eval-test,10–99,True,
01_predictors,8t27_A,eval-test,≥1000,True,
01_predictors,8t2j_A,eval-test,≥1000,True,
01_predictors,8t41_A,eval-test,≥1000,True,
01_predictors,8t4c_A,eval-test,≥1000,True,
01_predictors,8t5t_A,eval-test,100–999,True,
01_predictors,8t8k_A,eval-test,≥1000,True,
01_predictors,8t93_A,eval-test,≥1000,True,
01_predictors,8t9n_A,eval-test,≥1000,True,
01_predictors,8te9_A,eval-test,≥1000,True,
01_predictors,8tfo_A,eval-test,≥1000,True,
01_predictors,8tfs_A,eval-test,≥1000,True,
01_predictors,8hic_A,eval-test,≥1000,True,
01_predictors,8ti5_A,eval-test,≥1000,True,
01_predictors,8tjg_A,eval-test,≥1000,True,
01_predictors,8tru_A,eval-test,≥1000,True,
01_predictors,8tse_A,eval-test,≥1000,True,
01_predictors,8tuk_A,eval-test,≥1000,True,
01_predictors,8tw1_A,eval-test,≥1000,True,
01_predictors,8tyh_A,eval-test,≥1000,True,
01_predictors,8u0i_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,8u0x_A,eval-test,10–99,True,
01_predictors,8u2f_A,eval-test,100–999,True,
01_predictors,8ubs_A,eval-test,≥1000,True,
01_predictors,8uds_A,eval-test,≥1000,True,
01_predictors,8tls_A,eval-test,≥1000,True,
01_predictors,8ujw_A,eval-test,≥1000,True,
01_predictors,8uk7_A,eval-test,100–999,True,
01_predictors,8upi_A,eval-test,≥1000,True,
01_predictors,8ux2_A,eval-test,<10,True,
01_predictors,8v3m_A,eval-test,≥1000,True,
01_predictors,8v6t_A,eval-test,≥1000,True,
01_predictors,8vcw_A,eval-test,≥1000,True,
01_predictors,8vh7_A,eval-test,≥1000,True,
01_predictors,8vpo_A,eval-test,100–999,True,
01_predictors,8vqk_A,eval-test,≥1000,True,
01_predictors,8w6v_A,eval-test,≥1000,True,
01_predictors,8w7p_A,eval-test,100–999,True,
01_predictors,8wac_A,eval-test,10–99,True,
01_predictors,8wae_A,eval-test,100–999,True,
01_predictors,8wc1_A,eval-test,100–999,True,
01_predictors,8wcf_A,eval-test,≥1000,True,
01_predictors,8whj_A,eval-test,≥1000,True,
01_predictors,8whn_A,eval-test,100–999,True,
01_predictors,8wik_A,eval-test,≥1000,True,
01_predictors,8wj5_A,eval-test,10–99,True,
01_predictors,8kbl_A,eval-test,≥1000,True,
01_predictors,8wnj_A,eval-test,≥1000,True,
01_predictors,8wrx_A,eval-test,<10,True,
01_predictors,8wt3_A,eval-test,≥1000,True,
01_predictors,8wim_A,eval-test,100–999,True,
01_predictors,8x7c_A,eval-test,≥1000,True,
01_predictors,8xf9_A,eval-test,≥1000,True,
01_predictors,8xif_A,eval-test,100–999,True,
01_predictors,8xjg_A,eval-test,≥1000,True,
01_predictors,8xpk_A,eval-test,≥1000,True,
01_predictors,8y9p_A,eval-test,≥1000,True,
01_predictors,8ye0_A,eval-test,100–999,True,
01_predictors,8wqn_A,eval-test,10–99,True,
01_predictors,8yxk_A,eval-test,≥1000,True,
01_predictors,8z4q_A,eval-test,≥1000,True,
01_predictors,8hel_A,eval-test,10–99,True,
01_predictors,8zqf_A,eval-test,100–999,True,
01_predictors,9aue_A,eval-test,≥1000,True,
01_predictors,9azz_A,eval-test,≥1000,True,
01_predictors,9b1u_A,eval-test,≥1000,True,
01_predictors,9b8e_A,eval-test,10–99,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,9bks_A,eval-test,≥1000,True,
01_predictors,9bjx_A,eval-test,≥1000,True,
01_predictors,9cfj_A,eval-test,≥1000,True,
01_predictors,9crn_A,eval-test,≥1000,True,
01_predictors,9d91_A,eval-test,≥1000,True,
01_predictors,9etn_A,eval-test,≥1000,True,
01_predictors,9evq_A,eval-test,100–999,True,
01_predictors,9fce_A,eval-test,≥1000,True,
01_predictors,9fgp_A,eval-test,≥1000,True,
01_predictors,9f9u_A,eval-test,100–999,True,
01_predictors,9fow_A,eval-test,100–999,True,
01_predictors,9fym_A,eval-test,≥1000,True,
01_predictors,9gso_A,eval-test,10–99,True,
01_predictors,9ijc_A,eval-test,≥1000,True,
01_predictors,9iuh_A,eval-test,≥1000,True,
01_predictors,9j0v_A,eval-test,≥1000,True,
01_predictors,9jq9_A,eval-test,≥1000,True,
01_predictors,7pv5_A,eval-val,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,7qp5_A,eval-val,100–999,True,
01_predictors,7qsj_A,eval-val,≥1000,True,
01_predictors,7t9r_A,eval-val,100–999,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
01_predictors,7tlh_A,eval-val,≥1000,True,
01_predictors,7tjb_A,eval-val,≥1000,True,
01_predictors,7uba_A,eval-val,100–999,True,
01_predictors,7uk8_A,eval-val,≥1000,True,
01_predictors,7ur2_A,eval-val,≥1000,True,
01_predictors,7urp_A,eval-val,100–999,True,
01_predictors,7uvg_A,eval-val,100–999,True,
01_predictors,7uww_A,eval-val,≥1000,True,
01_predictors,7v3o_A,eval-val,≥1000,True,
01_predictors,7w15_A,eval-val,≥1000,True,
01_predictors,7y3h_A,eval-val,≥1000,True,
01_predictors,7wz5_A,eval-val,100–999,True,
01_predictors,7wzm_A,eval-val,≥1000,True,
01_predictors,7x4p_A,eval-val,≥1000,True,
01_predictors,7x3h_A,eval-val,100–999,True,
01_predictors,7x8l_A,eval-val,≥1000,True,
01_predictors,7xcd_A,eval-val,10–99,True,
01_predictors,7xg9_A,eval-val,≥1000,True,
01_predictors,7xi5_A,eval-val,≥1000,True,
01_predictors,7xp9_A,eval-val,10–99,True,
01_predictors,8ycm_A,eval-val,≥1000,True,
01_predictors,7xq4_A,eval-val,≥1000,True,
01_predictors,7xrx_A,eval-val,≥1000,True,
01_predictors,7xjr_A,eval-val,≥1000,True,
01_predictors,7xyr_A,eval-val,≥1000,True,
01_predictors,7xz3_A,eval-val,≥1000,True,
01_predictors,7y4h_A,eval-val,≥1000,True,
01_predictors,7y54_A,eval-val,≥1000,True,
01_predictors,7y5m_A,eval-val,100–999,True,
01_predictors,7y5r_A,eval-val,≥1000,True,
01_predictors,7y8h_A,eval-val,≥1000,True,
01_predictors,7y8i_A,eval-val,≥1000,True,
01_predictors,7y5j_A,eval-val,≥1000,True,
01_predictors,7yd4_A,eval-val,100–999,True,
01_predictors,7yhr_A,eval-val,100–999,True,
01_predictors,7ykm_A,eval-val,≥1000,True,
01_predictors,7ylr_A,eval-val,≥1000,True,
01_predictors,8gmy_A,eval-val,≥1000,True,
01_predictors,7yug_A,eval-val,≥1000,True,
01_predictors,7yyg_A,eval-val,100–999,True,
01_predictors,7z65_A,eval-val,100–999,True,
01_predictors,7znz_A,eval-val,≥1000,True,
01_predictors,7zoi_A,eval-val,≥1000,True,
01_predictors,7zs2_A,eval-val,≥1000,True,
01_predictors,7zu3_A,eval-val,100–999,True,
01_predictors,7zv1_A,eval-val,100–999,True,
01_predictors,8adc_A,eval-val,10–99,True,
01_predictors,8add_A,eval-val,100–999,True,
01_predictors,8akh_A,eval-val,≥1000,True,
01_predictors,8ak2_A,eval-val,≥1000,True,
01_predictors,8arl_A,eval-val,100–999,True,
01_predictors,8q8i_A,eval-val,≥1000,True,
01_predictors,8au6_A,eval-val,≥1000,True,
01_predictors,8axj_A,eval-val,≥1000,True,
01_predictors,8azb_A,eval-val,≥1000,True,
01_predictors,8b2e_A,eval-val,≥1000,True,
01_predictors,8b2g_A,eval-val,≥1000,True,
01_predictors,8b2s_A,eval-val,≥1000,True,
01_predictors,8b4u_A,eval-val,≥1000,True,
01_predictors,8b5w_A,eval-val,≥1000,True,
01_predictors,8b61_A,eval-val,100–999,True,
01_predictors,8b6a_A,eval-val,≥1000,True,
01_predictors,8b6e_A,eval-val,≥1000,True,
01_predictors,8baq_A,eval-val,≥1000,True,
01_predictors,8bau_A,eval-val,≥1000,True,
01_predictors,8bfy_A,eval-val,≥1000,True,
01_predictors,8bgb_A,eval-val,≥1000,True,
01_predictors,8bke_A,eval-val,≥1000,True,
01_predictors,8bsb_A,eval-val,100–999,True,
01_predictors,8bux_A,eval-val,100–999,True,
01_predictors,8c4d_A,eval-val,≥1000,True,
01_predictors,7xlz_A,eval-val,≥1000,True,
01_predictors,8c4y_A,eval-val,≥1000,True,
01_predictors,8cba_A,eval-val,100–999,True,
01_predictors,8ci9_A,eval-val,≥1000,True,
01_predictors,8cih_A,eval-val,100–999,True,
01_predictors,8amo_A,eval-val,≥1000,True,
01_predictors,8cpk_A,eval-val,≥1000,True,
01_predictors,8cpn_A,eval-val,100–999,True,
01_predictors,8d2z_A,eval-val,≥1000,True,
01_predictors,8daj_A,eval-val,≥1000,True,
01_predictors,8dez_A,eval-val,100–999,True,
01_predictors,8dge_A,eval-val,≥1000,True,
01_predictors,8dhj_A,eval-val,≥1000,True,
01_predictors,8dmu_A,eval-val,≥1000,True,
01_predictors,8dp9_A,eval-val,≥1000,True,
01_predictors,8dqd_A,eval-val,≥1000,True,
01_predictors,8dx0_A,eval-val,≥1000,True,
01_predictors,8e0r_A,eval-val,≥1000,True,
01_predictors,8e5h_A,eval-val,≥1000,True,
01_predictors,8eb9_A,eval-val,10–99,True,
01_predictors,8ec3_A,eval-val,10–99,True,
01_predictors,8eo5_A,eval-val,≥1000,True,
02_oracle,5sbj_A,eval-denovo,<10,True,
02_oracle,7ur7_A,eval-denovo,<10,True,
02_oracle,8ah9_A,eval-denovo,<10,True,
02_oracle,8eov_A,eval-denovo,<10,True,
02_oracle,8fjf_A,eval-denovo,<10,True,
02_oracle,8gac_A,eval-denovo,<10,True,
02_oracle,8ju8_A,eval-denovo,<10,True,
02_oracle,8k7o_A,eval-denovo,10–99,True,
02_oracle,8k7z_A,eval-denovo,<10,True,
02_oracle,8k83_A,eval-denovo,<10,True,
02_oracle,8k84_A,eval-denovo,100–999,True,
02_oracle,8kcj_A,eval-denovo,<10,True,
02_oracle,8ka7_A,eval-denovo,<10,True,
02_oracle,8kac_A,eval-denovo,100–999,True,
02_oracle,8oys_A,eval-denovo,<10,True,
02_oracle,8oyy_A,eval-denovo,<10,True,
02_oracle,8qkd_A,eval-denovo,<10,True,
02_oracle,8qup_A,eval-denovo,100–999,True,
02_oracle,8vc8_A,eval-denovo,<10,True,
02_oracle,8es6_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8ev4_A,eval-test,≥1000,True,
02_oracle,8ew1_A,eval-test,≥1000,True,
02_oracle,8ew9_A,eval-test,100–999,True,
02_oracle,8ey3_A,eval-test,≥1000,True,
02_oracle,8ez6_A,eval-test,≥1000,True,
02_oracle,8ezw_A,eval-test,≥1000,True,
02_oracle,8f8n_A,eval-test,100–999,True,
02_oracle,8f9o_A,eval-test,≥1000,True,
02_oracle,8fbc_A,eval-test,≥1000,True,
02_oracle,8jjq_A,eval-test,≥1000,True,
02_oracle,8fib_A,eval-test,≥1000,True,
02_oracle,8fr5_A,eval-test,100–999,True,
02_oracle,8fty_A,eval-test,≥1000,True,
02_oracle,8h2f_A,eval-test,≥1000,True,
02_oracle,8fz8_A,eval-test,≥1000,True,
02_oracle,8fz9_A,eval-test,≥1000,True,
02_oracle,8g0n_A,eval-test,≥1000,True,
02_oracle,8g1l_A,eval-test,100–999,True,
02_oracle,8g1y_A,eval-test,≥1000,True,
02_oracle,8g32_A,eval-test,≥1000,True,
02_oracle,8g52_A,eval-test,≥1000,True,
02_oracle,8g53_A,eval-test,100–999,True,
02_oracle,8g5u_A,eval-test,≥1000,True,
02_oracle,8g64_A,eval-test,≥1000,True,
02_oracle,8gbe_A,eval-test,100–999,True,
02_oracle,8gdl_A,eval-test,100–999,True,
02_oracle,8gj9_A,eval-test,100–999,True,
02_oracle,8gjw_A,eval-test,100–999,True,
02_oracle,8gjy_A,eval-test,≥1000,True,
02_oracle,8gkd_A,eval-test,100–999,True,
02_oracle,8gok_A,eval-test,10–99,True,
02_oracle,8gr7_A,eval-test,≥1000,True,
02_oracle,8gsy_A,eval-test,100–999,True,
02_oracle,8gqq_A,eval-test,≥1000,True,
02_oracle,8gtz_A,eval-test,≥1000,True,
02_oracle,8q79_A,eval-test,100–999,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8h02_A,eval-test,≥1000,True,
02_oracle,8h5s_A,eval-test,≥1000,True,
02_oracle,8hbt_A,eval-test,≥1000,True,
02_oracle,8hd2_A,eval-test,100–999,True,
02_oracle,8he1_A,eval-test,≥1000,True,
02_oracle,8axs_A,eval-test,100–999,True,
02_oracle,8hnq_A,eval-test,≥1000,True,
02_oracle,8hvd_A,eval-test,≥1000,True,
02_oracle,7xhz_A,eval-test,≥1000,True,
02_oracle,8hw8_A,eval-test,≥1000,True,
02_oracle,8hxs_A,eval-test,≥1000,True,
02_oracle,8ii8_A,eval-test,<10,True,
02_oracle,8ikx_A,eval-test,≥1000,True,
02_oracle,8ini_A,eval-test,10–99,True,
02_oracle,8iqc_A,eval-test,100–999,True,
02_oracle,8irq_A,eval-test,≥1000,True,
02_oracle,8iym_A,eval-test,≥1000,True,
02_oracle,8j2n_A,eval-test,≥1000,True,
02_oracle,8j2x_A,eval-test,≥1000,True,
02_oracle,8jb3_A,eval-test,≥1000,True,
02_oracle,7wr2_A,eval-test,100–999,True,
02_oracle,8j8y_A,eval-test,10–99,True,
02_oracle,8j9r_A,eval-test,≥1000,True,
02_oracle,8jdg_A,eval-test,≥1000,True,
02_oracle,8jh8_A,eval-test,≥1000,True,
02_oracle,8jiy_A,eval-test,≥1000,True,
02_oracle,8jmy_A,eval-test,≥1000,True,
02_oracle,8jn0_A,eval-test,≥1000,True,
02_oracle,8jup_A,eval-test,≥1000,True,
02_oracle,8jv2_A,eval-test,≥1000,True,
02_oracle,8jws_A,eval-test,≥1000,True,
02_oracle,8cjd_A,eval-test,≥1000,True,
02_oracle,8k2g_A,eval-test,≥1000,True,
02_oracle,8k2k_A,eval-test,≥1000,True,
02_oracle,8k2m_A,eval-test,≥1000,True,
02_oracle,8k4m_A,eval-test,10–99,True,
02_oracle,8k5j_A,eval-test,≥1000,True,
02_oracle,8k7x_A,eval-test,≥1000,True,
02_oracle,8kg4_A,eval-test,≥1000,True,
02_oracle,8xrh_A,eval-test,100–999,True,
02_oracle,8khv_A,eval-test,≥1000,True,
02_oracle,8kih_A,eval-test,10–99,True,
02_oracle,8ok3_A,eval-test,10–99,True,
02_oracle,8oqh_A,eval-test,≥1000,True,
02_oracle,8ork_A,eval-test,≥1000,True,
02_oracle,8os2_A,eval-test,≥1000,True,
02_oracle,8owf_A,eval-test,≥1000,True,
02_oracle,8osz_A,eval-test,≥1000,True,
02_oracle,8ou1_A,eval-test,≥1000,True,
02_oracle,8ovq_A,eval-test,100–999,True,
02_oracle,8ovu_A,eval-test,≥1000,True,
02_oracle,8ow8_A,eval-test,100–999,True,
02_oracle,8oxk_A,eval-test,<10,True,
02_oracle,8oxl_A,eval-test,100–999,True,
02_oracle,8p0e_A,eval-test,≥1000,True,
02_oracle,8p2a_A,eval-test,≥1000,True,
02_oracle,8p5p_A,eval-test,≥1000,True,
02_oracle,8p5n_A,eval-test,≥1000,True,
02_oracle,7wu8_A,eval-test,≥1000,True,
02_oracle,8pak_A,eval-test,≥1000,True,
02_oracle,8paq_A,eval-test,100–999,True,
02_oracle,8pb5_A,eval-test,≥1000,True,
02_oracle,8por_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8ptd_A,eval-test,≥1000,True,
02_oracle,8pu2_A,eval-test,100–999,True,
02_oracle,8pvs_A,eval-test,≥1000,True,
02_oracle,8pw2_A,eval-test,10–99,True,
02_oracle,8pxc_A,eval-test,≥1000,True,
02_oracle,8pxu_A,eval-test,≥1000,True,
02_oracle,8q1v_A,eval-test,≥1000,True,
02_oracle,8qb1_A,eval-test,≥1000,True,
02_oracle,8qd8_A,eval-test,≥1000,True,
02_oracle,8qjp_A,eval-test,≥1000,True,
02_oracle,8qlc_A,eval-test,≥1000,True,
02_oracle,8qoh_A,eval-test,<10,True,
02_oracle,8qpj_A,eval-test,100–999,True,
02_oracle,8qq1_A,eval-test,≥1000,True,
02_oracle,8qle_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8qx6_A,eval-test,≥1000,True,
02_oracle,8r2c_A,eval-test,≥1000,True,
02_oracle,8r5n_A,eval-test,≥1000,True,
02_oracle,8ra0_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8rcw_A,eval-test,≥1000,True,
02_oracle,8rdd_A,eval-test,100–999,True,
02_oracle,8re3_A,eval-test,≥1000,True,
02_oracle,8rom_A,eval-test,≥1000,True,
02_oracle,8an4_A,eval-test,≥1000,True,
02_oracle,8qnf_A,eval-test,≥1000,True,
02_oracle,8s5b_A,eval-test,≥1000,True,
02_oracle,8s9l_A,eval-test,≥1000,True,
02_oracle,8sot_A,eval-test,≥1000,True,
02_oracle,8spc_A,eval-test,≥1000,True,
02_oracle,8suc_A,eval-test,≥1000,True,
02_oracle,8sv7_A,eval-test,≥1000,True,
02_oracle,8sx0_A,eval-test,10–99,True,
02_oracle,8sxs_A,eval-test,≥1000,True,
02_oracle,8gm7_A,eval-test,10–99,True,
02_oracle,8t27_A,eval-test,≥1000,True,
02_oracle,8t2j_A,eval-test,≥1000,True,
02_oracle,8t41_A,eval-test,≥1000,True,
02_oracle,8t4c_A,eval-test,≥1000,True,
02_oracle,8t5t_A,eval-test,100–999,True,
02_oracle,8t8k_A,eval-test,≥1000,True,
02_oracle,8t93_A,eval-test,≥1000,True,
02_oracle,8t9n_A,eval-test,≥1000,True,
02_oracle,8te9_A,eval-test,≥1000,True,
02_oracle,8tfo_A,eval-test,≥1000,True,
02_oracle,8tfs_A,eval-test,≥1000,True,
02_oracle,8hic_A,eval-test,≥1000,True,
02_oracle,8ti5_A,eval-test,≥1000,True,
02_oracle,8tjg_A,eval-test,≥1000,True,
02_oracle,8tru_A,eval-test,≥1000,True,
02_oracle,8tse_A,eval-test,≥1000,True,
02_oracle,8tuk_A,eval-test,≥1000,True,
02_oracle,8tw1_A,eval-test,≥1000,True,
02_oracle,8tyh_A,eval-test,≥1000,True,
02_oracle,8u0i_A,eval-test,≥1000,False,Excluded by verified-coordinate or matched-structure coverage; see structure_exclusions.csv and helico_folding_inputs.json
02_oracle,8u0x_A,eval-test,10–99,True,
02_oracle,8u2f_A,eval-test,100–999,True,
02_oracle,8ubs_A,eval-test,≥1000,True,
02_oracle,8uds_A,eval-test,≥1000,True,
02_oracle,8tls_A,eval-test,≥1000,True,
02_oracle,8ujw_A,eval-test,≥1000,True,
02_oracle,8uk7_A,eval-test,100–999,True,
02_oracle,8upi_A,eval-test,≥1000,True,
02_oracle,8ux2_A,eval-test,<10,True,
02_oracle,8v3m_A,eval-test,≥1000,True,
02_oracle,8v6t_A,eval-test,≥1000,True,
02_oracle,8vcw_A,eval-test,≥1000,True,
02_oracle,8vh7_A,eval-test,≥1000,True,
02_oracle,8vpo_A,eval-test,100–999,True,
02_oracle,8vqk_A,eval-test,≥1000,True,
